id,landmark_id
bodleian_000116,3
magdalen_000658,9
trinity_000041,15
magdalen_000816,9
christ_church_000149,4
magdalen_000825,9
oriel_000093,11
oxford_002625,12
radcliffe_camera_000155,14
keble_000242,8
ashmolean_000116,1
trinity_000383,15
keble_000204,8
new_001081,10
christ_church_000838,4
oxford_003409,12
oxford_002538,12
bodleian_000450,3
oxford_001026,12
oxford_000292,12
ashmolean_000297,1
radcliffe_camera_000299,14
oxford_000174,12
keble_000016,8
balliol_000187,2
oxford_000074,12
bodleian_000148,3
magdalen_000523,9
balliol_000144,2
oxford_003564,12
oxford_001638,12
magdalen_001114,9
oxford_003312,12
cornmarket_000017,5
new_000239,10
oxford_000737,12
oxford_003027,12
oxford_003330,12
oxford_001614,12
radcliffe_camera_000304,14
radcliffe_camera_000270,14
christ_church_001029,4
pitt_rivers_000015,13
magdalen_001143,9
ashmolean_000265,1
oxford_002661,12
oxford_003002,12
magdalen_000723,9
radcliffe_camera_000360,14
pitt_rivers_000018,13
new_000648,10
new_000904,10
oxford_002517,12
magdalen_000527,9
oxford_001210,12
oxford_003251,12
oxford_003105,12
trinity_000366,15
trinity_000112,15
magdalen_000559,9
oxford_003306,12
new_000172,10
trinity_000098,15
ashmolean_000261,1
keble_000234,8
magdalen_001025,9
oxford_002707,12
new_000732,10
oxford_002786,12
oxford_001309,12
oriel_000121,11
magdalen_001044,9
radcliffe_camera_000433,14
worcester_000131,16
oxford_001751,12
oxford_003453,12
magdalen_001032,9
ashmolean_000179,1
magdalen_000460,9
oxford_000413,12
christ_church_001069,4
keble_000047,8
magdalen_000742,9
oxford_001122,12
oxford_002542,12
keble_000206,8
christ_church_001041,4
oxford_000707,12
ashmolean_000198,1
new_000405,10
radcliffe_camera_000185,14
oxford_002217,12
keble_000027,8
magdalen_000563,9
magdalen_000144,9
radcliffe_camera_000394,14
christ_church_000667,4
trinity_000169,15
new_000433,10
oxford_002834,12
all_souls_000053,0
christ_church_000261,4
radcliffe_camera_000364,14
new_000966,10
christ_church_000804,4
ashmolean_000274,1
new_000506,10
oxford_000422,12
oxford_000745,12
radcliffe_camera_000429,14
bodleian_000090,3
ashmolean_000112,1
radcliffe_camera_000171,14
oxford_001102,12
oxford_000866,12
ashmolean_000273,1
oxford_000966,12
magdalen_000121,9
christ_church_000808,4
christ_church_000987,4
oxford_000522,12
new_000807,10
ashmolean_000033,1
christ_church_000598,4
oxford_001555,12
bodleian_000311,3
bodleian_000316,3
christ_church_000384,4
oxford_002131,12
bodleian_000242,3
ashmolean_000231,1
oxford_003590,12
oxford_000976,12
oxford_002723,12
oxford_000620,12
ashmolean_000147,1
new_000279,10
oxford_002971,12
balliol_000069,2
ashmolean_000185,1
christ_church_000434,4
bodleian_000418,3
oxford_001543,12
ashmolean_000154,1
new_000032,10
oxford_001407,12
oxford_001279,12
ashmolean_000126,1
magdalen_000274,9
oxford_002457,12
magdalen_000288,9
oxford_000423,12
all_souls_000063,0
oxford_003032,12
ashmolean_000290,1
oxford_002347,12
bodleian_000407,3
cornmarket_000117,5
oxford_002174,12
